status,title,artists,album,audio_path,audio_url,file_path
"Not uploaded","Aafnai Baato","Purna Rai","Aafnai Baato","","",""
"Not uploaded","Aago Ko Jhilko","Chirag Khadka","Aago Ko Jhilko","","",""
"Not uploaded","Aaja Matra","Sajjan Raj Vaidya","Malaai Chaana Na","","",""
"Not uploaded","Aaja Matra","Sajjan Raj Vaidya","Aaja Matra","","",""
"Not uploaded","Aakhale","Yabesh Thapa, TWK","Aakhale","","",""
"Not uploaded","Aama","Sushant KC","Blue Figments","","",""
"Not uploaded","Aandhii (Sagar Agadi)","Bartika Eam Rai","Aandhii, Ityaadi","","",""
"Not uploaded","Aasha","Sushant KC","Aasha","","",""
"Not uploaded","Aashaa (II)","Bartika Eam Rai","Taral","","",""
"Not uploaded","Aattinchey","DJ Bishow, Yabesh Thapa, Vek, Bizen","PROJECT COLLABORATION (DELUXE)","","",""
"Not uploaded","Aattinchey","DJ Bishow, Yabesh Thapa, Bizen, Vek","PROJECT COLLABORATION","","",""
"Not uploaded","Aattinchey","DJ Bishow, Yabesh Thapa, Vek, Bizen","Aattinchey","","",""
"Not uploaded","Aau Timi","Durga Kharel","Chapali Height(Original Motion Picture Soundtrack)","","",""
"Not uploaded","Aayen Ma","Sajjan Raj Vaidya","Aayen Ma","","",""
"Not uploaded","Abhimaan","Albatross","Atti Bhayo","","",""
"Not uploaded","Abhimaan - Acoustic","Albatross","Barahsinghe Acoustic Sessions","","",""
"Not uploaded","Abhiman - Lockdown","Albatross","Abhiman (Lockdown)","","",""
"Not uploaded","About A Girl","Nirvana","Bleach (Deluxe Edition)","","",""
"Not uploaded","About A Girl","Nirvana","Bleach","","",""
"Not uploaded","About A Girl","Nirvana","Nirvana","","",""
"Not uploaded","About A Girl (Live at Pine Street Theatre)","Nirvana","Bleach (Deluxe Edition)","","",""
"Not uploaded","About A Girl - 1992/Live at Reading","Nirvana","Live at Reading","","",""
"Not uploaded","About A Girl - Home Demo","Nirvana","Sliver - The Best Of The Box","","",""
"Not uploaded","About A Girl - Home Demo","Nirvana","With The Lights Out - Box Set","","",""
"Not uploaded","About A Girl - Live","Nirvana","MTV Unplugged In New York (25th Anniversary)","","",""
"Not uploaded","About A Girl - Live","Nirvana","MTV Unplugged In New York","","",""
"Not uploaded","About A Girl - Live & Loud","Nirvana","Live And Loud","","",""
"Not uploaded","About A Girl - Live At The Paramount/1991","Nirvana","Live At The Paramount","","",""
"Not uploaded","About A Girl - Live In Amsterdam, Netherlands/1991","Nirvana","Nevermind (30th Anniversary Super Deluxe)","","",""
"Not uploaded","About A Girl - Live In Del Mar, California/1991","Nirvana","Nevermind (30th Anniversary Super Deluxe)","","",""
"Not uploaded","About A Girl - Live In Los Angeles, Great Western Forum - December 30, 1993","Nirvana","In Utero (30th Anniversary Super Deluxe)","","",""
"Not uploaded","About A Girl - Live In Melbourne, Australia For Triple J/1992","Nirvana","Nevermind (30th Anniversary Super Deluxe)","","",""
"Uploaded","Ace Trumpets","Clipse","Let God Sort Em Out","public/songs/Clipse/Let God Sort Em Out/Ace Trumpets.mp3","/songs/Clipse/Let%20God%20Sort%20Em%20Out/Ace%20Trumpets.mp3","D:\vinyl-demo\public\songs\Clipse\Let God Sort Em Out\Ace Trumpets.mp3"
"Not uploaded","Action Mara Beat","Dj khalipha","Action Mara Beat","","",""
"Not uploaded","Actually Romantic","Taylor Swift","The Life of a Showgirl","","",""
"Not uploaded","Actually Romantic","Taylor Swift","The Life of a Showgirl + Acoustic Collection","","",""
"Not uploaded","Addiction","Kanye West","Late Registration","","",""
"Not uploaded","Adhar","Albatross","Ma Ra Malai","","",""
"Not uploaded","Adhuro Kura","Tribal Rain","Adhuro Kura","","",""
"Not uploaded","Adhuro Prem","AXIX","Black and White","","",""
"Not uploaded","Adrenaline Street House Beat","Dj khalipha","Adrenaline Street House Beat","","",""
"Not uploaded","Adrenaline street house beat","Dj khalipha","Streetline","","",""
"Not uploaded","Adriano Ta Me Ouvindo","Dj Thales Jql","Barulho Jql","","",""
"Not uploaded","Ae Mutu","Yabesh Thapa, Zeroo","Ae Mutu","","",""
"Not uploaded","Aero Zeppelin","Nirvana","Incesticide","","",""
"Not uploaded","Aeroplane","Red Hot Chili Peppers","One Hot Minute (Deluxe Edition)","","",""
"Not uploaded","Aeroplane","Red Hot Chili Peppers","One Hot Minute","","",""
"Not uploaded","Aeroplane","Red Hot Chili Peppers","The Studio Album Collection 1991 - 2011","","",""
"Not uploaded","Afire Love","Ed Sheeran","x (10th Anniversary Edition)","","",""
"Not uploaded","Afire Love","Ed Sheeran","x (Wembley Edition)","","",""
"Not uploaded","Afire Love","Ed Sheeran","x (Deluxe Edition)","","",""
"Not uploaded","Afnai Sansar Ma Kina","Albatross","Ma Ra Malai","","",""
"Not uploaded","Afrowave","Dj khalipha","Limitless","","",""
"Not uploaded","Afterglow","Ed Sheeran","+-=÷× (Tour Collection: Live)","","",""
"Not uploaded","Afterglow","Ed Sheeran","+-=÷× (Tour Collection)","","",""
"Not uploaded","Afterglow","Ed Sheeran","= (Tour Edition)","","",""
"Not uploaded","Afterglow - Live","Ed Sheeran","+-=÷× (Tour Collection: Live)","","",""
"Not uploaded","Afterlife","Red Hot Chili Peppers","Return of the Dream Canteen","","",""
"Not uploaded","Ai meu caraio torto","Dj Thales Jql, DJ DIDI","Ai meu caraio torto","","",""
"Not uploaded","Ain't Goin' Down No More - Instrumental Version \ 1986 Sound City Session","Guns N' Roses","Appetite For Destruction (Super Deluxe Edition)","","",""
"Not uploaded","Ain't It A Shame - Demo","Nirvana","Sliver - The Best Of The Box","","",""
"Not uploaded","Ain't It A Shame - Demo","Nirvana","With The Lights Out - Box Set","","",""
"Not uploaded","Ain't It Fun","Guns N' Roses","The Spaghetti Incident?","","",""
"Not uploaded","Ain't It Fun","Guns N' Roses","Greatest Hits","","",""
"Not uploaded","Ajhai Pani,","Bartika Eam Rai","Aandhii, Ityaadi","","",""
"Not uploaded","Akorinchhu","Sabin Rai","Rangamanch Ko Rang","","",""
"Not uploaded","Akorinchhu","Sabin Rai","Akorinchhu","","",""
"Not uploaded","Alapatra","Yabesh Thapa","Alapatra","","",""
"Not uploaded","Alikati, Timi","Bartika Eam Rai","Aandhii, Ityaadi","","",""
"Not uploaded","All Apologies","Nirvana","In Utero (Super Deluxe Edition)","","",""
"Not uploaded","All Apologies","Nirvana","In Utero (Deluxe Edition)","","",""
"Not uploaded","All Apologies","Nirvana","In Utero","","",""
"Not uploaded","All Apologies - 1992/Live at Reading","Nirvana","Live at Reading","","",""
"Not uploaded","All Apologies - 2013 Mix","Nirvana","In Utero (Super Deluxe Edition)","","",""
"Not uploaded","All Apologies - 2013 Mix","Nirvana","In Utero (Deluxe Edition)","","",""
"Not uploaded","All Apologies - 2023 Remaster","Nirvana","In Utero (30th Anniversary Super Deluxe)","","",""
"Not uploaded","All Apologies - Demo","Nirvana","In Utero (Super Deluxe Edition)","","",""
"Not uploaded","All Apologies - Demo","Nirvana","In Utero (Deluxe Edition)","","",""
"Not uploaded","All Apologies - Home Demo","Nirvana","Sliver - The Best Of The Box","","",""
"Not uploaded","All Apologies - Live","Nirvana","MTV Unplugged In New York (25th Anniversary)","","",""
"Not uploaded","All Apologies - Live","Nirvana","MTV Unplugged In New York","","",""
"Not uploaded","All Apologies - Live","Nirvana","Nirvana","","",""
"Not uploaded","All Apologies - Live & Loud","Nirvana","Live And Loud","","",""
"Not uploaded","All Apologies - Live In Los Angeles, Great Western Forum - December 30, 1993","Nirvana","In Utero (30th Anniversary Super Deluxe)","","",""
"Not uploaded","All Apologies - Live In Los Angeles, Great Western Forum - December 30, 1993","Nirvana","In Utero 30th Live","","",""
"Not uploaded","All Apologies - Original Steve Albini 1993 Mix","Nirvana","In Utero (Super Deluxe Edition)","","",""
"Not uploaded","All Apologies - Original Steve Albini 1993 Mix","Nirvana","In Utero (Deluxe Edition)","","",""
"Not uploaded","All Eyes On Me","YABI The G.O.A.T","All Eyes On Me","","",""
"Not uploaded","All Falls Down","Kanye West, Syleena Johnson","The College Dropout","","",""
"Not uploaded","All Falls Down - Live At Abbey Road Studios","Kanye West, Syleena Johnson","Late Orchestration","","",""
"Not uploaded","All I Ever Dreamed","Sushant KC","Blue Figments","","",""
"Not uploaded","All Mine","Kanye West","ye","","",""
"Not uploaded","All Of The Lights","Kanye West","My Beautiful Dark Twisted Fantasy","","",""
"Not uploaded","All Of The Lights (Interlude)","Kanye West","My Beautiful Dark Twisted Fantasy","","",""
"Uploaded","All of Me","John Legend","","public/songs/John Legend/All of Me.mp3","/songs/John%20Legend/All%20of%20Me.mp3","D:\vinyl-demo\public\songs\John Legend\All of Me.mp3"
"Not uploaded","All of the Stars","Ed Sheeran","x (10th Anniversary Edition)","","",""
"Not uploaded","All over Me Riddim","Dj khalipha","Rave Sound","","",""
"Uploaded","All the Stars","Kendrick Lamar, SZA","","public/songs/Kendrick Lamar/All the Stars.mp3","/songs/Kendrick%20Lamar/All%20the%20Stars.mp3","D:\vinyl-demo\public\songs\Kendrick Lamar\All the Stars.mp3"
"Not uploaded","Almost Unreal","","Almost Unreal","","",""
"Not uploaded","Alone Again - Live","The Weeknd","Live At SoFi Stadium","","",""
"Not uploaded","Always On The Run - Live In Paris, Hippodrome De Vincennes - June 6, 1992","Guns N' Roses, Lenny Kravitz","Use Your Illusion I (Deluxe Edition)","","",""
"Not uploaded","Amassar o ortobom","DJ DIDI, Dj Thales Jql, DJ Karuso","Amassar o ortobom","","",""
"Not uploaded","Amazing","Ed Sheeran","Autumn Variations (Fan Living Room Sessions)","","",""
"Not uploaded","Amazing","Ed Sheeran","Autumn Variations","","",""
"Not uploaded","Amazing","Kanye West, Jeezy","808s & Heartbreak","","",""
"Not uploaded","Amazing (feat. DJ Khaled)","Mary J. Blige, DJ Khaled","Amazing (feat. DJ Khaled)","","",""
"Not uploaded","Amazing - Live from Kia’s Living Room","Ed Sheeran","Autumn Variations (Fan Living Room Sessions)","","",""
"Not uploaded","Amen (feat. Teezo Touchdown)","Drake, Teezo Touchdown","For All The Dogs","","",""
"Not uploaded","American Ghost Dance - Remastered","Red Hot Chili Peppers","Freaky Styley","","",""
"Not uploaded","American Town","Ed Sheeran","Autumn Variations (Fan Living Room Sessions)","","",""
"Not uploaded","American Town","Ed Sheeran","Autumn Variations","","",""
"Not uploaded","American Town - Live from Kari’s Living Room","Ed Sheeran","Autumn Variations (Fan Living Room Sessions)","","",""
"Not uploaded","Amigo","Were, Dj Khala","Amigo","","",""
"Not uploaded","Ana bikhayr","Jamesy","Ana bikhayr","","",""
"Not uploaded","Anaadi","Oasis Thapa","Anaadi","","",""
