status,title,artists,album,audio_path,audio_url,file_path
"Not uploaded","Chaar Dewar","Samir Shrestha","Chaar Dewar","","",""
"Not uploaded","Chainejo Jindaganima - From(""Oonko Sweater[The Woolen Sweater]"")","Sujan Chapagain, ArtMandu, Salina Bk","Chainejo Jindaganima","","",""
"Not uploaded","Champion","Kanye West","Graduation","","",""
"Not uploaded","Chandrama Na'bhako Raatma Pani - prologue","Bartika Eam Rai","Aandhii, Ityaadi","","",""
"Not uploaded","Changa","Yabesh Thapa","Changa","","",""
"Not uploaded","Chapali Height","Sabin Rai","Chapali Height(Original Motion Picture Soundtrack)","","",""
"Not uploaded","Charlie","Red Hot Chili Peppers","Stadium Arcadium","","",""
"Not uploaded","Chautari","Sajjan Raj Vaidya","Behuli","","",""
"Not uploaded","Chautari","Sajjan Raj Vaidya","Chautari","","",""
"Not uploaded","Chhaina","Albatross","Atti Bhayo","","",""
"Not uploaded","Chinese Democracy","Guns N' Roses","Chinese Democracy","","",""
"Not uploaded","Chinta","Tribal Rain","Roka Yo Samay","","",""
"Not uploaded","Chinta First Version","Tribal Rain","Chinta First Version","","",""
"Not uploaded","Chiso Ashtray","Robin Tamang","Chiso Ashtray (Original Motion Picture Soundtrack)","","",""
"Not uploaded","Chitthi Bhitra","Sajjan Raj Vaidya","Chitthi Bhitra","","",""
"Not uploaded","Chulbul Chulbul (From ""Babari"") (Original Motion Picture Soundtrack)","Sujan Chapagain, Sunita Thegim","Chulbul Chulbul (From ""Babari"") (Original Motion Picture Soundtrack)","","",""
"Not uploaded","Chyangba","AXIX","Ghar Gaun","","",""
"Not uploaded","Chyau","Chirag Khadka","Cosmic Soul","","",""
"Not uploaded","City Breathing","DJ Bishow, Uniq Poet, Vek","PROJECT COLLABORATION (DELUXE)","","",""
"Not uploaded","City Breathing","DJ Bishow, Uniq Poet, Vek","PROJECT COLLABORATION","","",""
"Not uploaded","City Breathing","DJ Bishow, Uniq Poet, Vek","City Breathing","","",""
"Not uploaded","City of Gods","Fivio Foreign, Kanye West, Alicia Keys","City of Gods","","",""
"Not uploaded","Civil War","Guns N' Roses","Use Your Illusion II","","",""
"Not uploaded","Civil War","Guns N' Roses","Greatest Hits","","",""
"Not uploaded","Civil War - 2022 Remaster","Guns N' Roses","Use Your Illusion II (Deluxe Edition)","","",""
"Not uploaded","Civil War - 2022 Remaster","Guns N' Roses","Use Your Illusion (Super Deluxe)","","",""
"Not uploaded","Clean Up Before She Comes - Solo Acoustic","Nirvana","Sliver - The Best Of The Box","","",""
"Not uploaded","Clean Up Before She Comes - Solo Acoustic","Nirvana","With The Lights Out - Box Set","","",""
"Not uploaded","Closed On Sunday","Kanye West","JESUS IS KING","","",""
"Not uploaded","Coffee Shop","Red Hot Chili Peppers","One Hot Minute (Deluxe Edition)","","",""
"Not uploaded","Coffee Shop","Red Hot Chili Peppers","One Hot Minute","","",""
"Not uploaded","Coffee Shop","Red Hot Chili Peppers","The Studio Album Collection 1991 - 2011","","",""
"Not uploaded","Cold Coffee","Ed Sheeran","5","","",""
"Not uploaded","Cold Coffee","Ed Sheeran","my forgotten favourites","","",""
"Not uploaded","Coldest Winter","Kanye West","808s & Heartbreak","","",""
"Not uploaded","Collaborations Medley - Live","Ed Sheeran","+-=÷× (Tour Collection: Live)","","",""
"Not uploaded","Collide","Ed Sheeran","= (Tour Edition)","","",""
"Not uploaded","Collide","Ed Sheeran","=","","",""
"Not uploaded","Colourblind","Ed Sheeran","- (Deluxe)","","",""
"Not uploaded","Coma","Guns N' Roses","Use Your Illusion I","","",""
"Not uploaded","Coma - 2022 Remaster","Guns N' Roses","Use Your Illusion I (Deluxe Edition)","","",""
"Not uploaded","Coma - 2022 Remaster","Guns N' Roses","Use Your Illusion (Super Deluxe)","","",""
"Not uploaded","Coma - Live","Guns N' Roses","Live Era '87-'93 (Live - Deluxe Edition)","","",""
"Not uploaded","Come As You Are","Nirvana","Nevermind (Super Deluxe Edition)","","",""
"Not uploaded","Come As You Are","Nirvana","Nevermind (Remastered)","","",""
"Not uploaded","Come As You Are","Nirvana","Nevermind (Deluxe Edition)","","",""
"Not uploaded","Come As You Are","Nirvana","Nirvana","","",""
"Not uploaded","Come As You Are - 1992/Live at Reading","Nirvana","Live at Reading","","",""
"Not uploaded","Come As You Are - Boom Box Version","Nirvana","Sliver - The Best Of The Box","","",""
"Not uploaded","Come As You Are - Boombox Rehearsals","Nirvana","Nevermind (Super Deluxe Edition)","","",""
"Not uploaded","Come As You Are - Boombox Rehearsals","Nirvana","Nevermind (Deluxe Edition)","","",""
"Not uploaded","Come As You Are - Devonshire Mix","Nirvana","Nevermind (Super Deluxe Edition)","","",""
"Not uploaded","Come As You Are - Live","Nirvana","MTV Unplugged In New York (25th Anniversary)","","",""
"Not uploaded","Come As You Are - Live","Nirvana","MTV Unplugged In New York","","",""
"Not uploaded","Come As You Are - Live & Loud","Nirvana","Live And Loud","","",""
"Not uploaded","Come As You Are - Live In Amsterdam, Netherlands/1991","Nirvana","Nevermind (30th Anniversary Super Deluxe)","","",""
"Not uploaded","Come As You Are - Live In Del Mar, California/1991","Nirvana","Nevermind (30th Anniversary Super Deluxe)","","",""
"Not uploaded","Come As You Are - Live In Los Angeles, Great Western Forum - December 30, 1993","Nirvana","In Utero (30th Anniversary Super Deluxe)","","",""
"Not uploaded","Come As You Are - Live In Melbourne, Australia For Triple J/1992","Nirvana","Nevermind (30th Anniversary Super Deluxe)","","",""
"Not uploaded","Come As You Are - Live In Seattle, Seattle Center Arena - January 7, 1994","Nirvana","In Utero (30th Anniversary Super Deluxe)","","",""
"Not uploaded","Come As You Are - Rehearsal","Nirvana","MTV Unplugged In New York (25th Anniversary)","","",""
"Not uploaded","Come As You Are - Remastered 2021","Nirvana","Nevermind (30th Anniversary Super Deluxe)","","",""
"Not uploaded","Come to Life","Kanye West","Donda (Deluxe)","","",""
"Not uploaded","Come to Life","Kanye West","Donda","","",""
"Not uploaded","Como é Bom Fuder","Dj Thales Jql","Como é Bom Fuder","","",""
"Not uploaded","Confession","DJ Bishow, Vek","PROJECT COLLABORATION (DELUXE)","","",""
"Not uploaded","Confession","DJ Bishow, Vek","PROJECT COLLABORATION","","",""
"Not uploaded","Confession","DJ Bishow, Vek","Confession","","",""
"Not uploaded","Copperbelly","Red Hot Chili Peppers","Return of the Dream Canteen","","",""
"Not uploaded","Crack Music","Kanye West, The Game","Late Registration","","",""
"Not uploaded","Crack Music - Live At Abbey Road Studios","Kanye West, The Game","Late Orchestration","","",""
"Not uploaded","Cross Me (feat. Chance the Rapper & PnB Rock)","Ed Sheeran, Chance the Rapper, PnB Rock","No.6 Collaborations Project","","",""
"Not uploaded","Crosstown Traffic - Live","Red Hot Chili Peppers","Mother's Milk","","",""
"Not uploaded","Cry For Me","The Weeknd","Hurry Up Tomorrow","","",""
"Not uploaded","Cudi Montage","KIDS SEE GHOSTS","KIDS SEE GHOSTS","","",""
"Not uploaded","Curmudgeon","Nirvana","Nevermind (Super Deluxe Edition)","","",""
"Not uploaded","Curmudgeon","Nirvana","Nevermind (Deluxe Edition)","","",""
"Not uploaded","Curmudgeon","Nirvana","With The Lights Out - Box Set","","",""
"Not uploaded","Curtains","Ed Sheeran","- (Deluxe)","","",""
"Not uploaded","D-7 - 1990 Radio Appearance","Nirvana","With The Lights Out - Box Set","","",""
"Not uploaded","D-7 - 1992/Live at Reading","Nirvana","Live at Reading","","",""
"Not uploaded","D-7 - Live At The BBC","Nirvana","Nevermind (Super Deluxe Edition)","","",""
"Not uploaded","D-7 - Live At The BBC","Nirvana","Nevermind (Deluxe Edition)","","",""
"Not uploaded","DAAMI","YABI The G.O.A.T, Sarkaar","DAAMI","","",""
"Not uploaded","DASHAIN DRILL","Jamesy, Razza","DASHAIN DRILL","","",""
"Not uploaded","DEAD","¥$, Kanye West, Ty Dolla $ign","VULTURES 2","","",""
"Not uploaded","DEEPER","PARTYNEXTDOOR","$ome $exy $ongs 4 U","","",""
"Not uploaded","DIOR","Jamesy, Chinoir","DIOR","","",""
"Not uploaded","DJ BOKA (TUN UP)","Jamesy, Iamgolay, Janam","SELFMADE DELUXE","","",""
"Not uploaded","DMF ANTHEM / VIBES","DJ Bishow, Jay Author, Dong, Yuven Blac","DMF ANTHEM / VIBES","","",""
"Not uploaded","DO IT","¥$, Kanye West, Ty Dolla $ign","VULTURES 1","","",""
"Not uploaded","Dance, Dance, Dance","Red Hot Chili Peppers","I'm with You","","",""
"Not uploaded","Dani California","Red Hot Chili Peppers","Stadium Arcadium","","",""
"Not uploaded","Dani California","Red Hot Chili Peppers","Dani California","","",""
"Not uploaded","Dark Fantasy","Kanye West","My Beautiful Dark Twisted Fantasy","","",""
"Not uploaded","Dark Necessities","Red Hot Chili Peppers","The Getaway","","",""
"Not uploaded","Dark Necessities","Red Hot Chili Peppers","Dark Necessities","","",""
"Not uploaded","Dark Street House Beat","Dj khalipha","Dark Street House Beat","","",""
"Not uploaded","Dash Mara House Beat","Dj khalipha","Dash Mara House Beat","","",""
"Not uploaded","Daya Baya","Sabin Rai","Rangamanch Ko Rang","","",""
"Not uploaded","Daylight","Drake","For All The Dogs","","",""
"Not uploaded","De Donde Pinga","Were, Chocolate Mc, Dj Khala","De Donde Pinga","","",""
"Not uploaded","Dead Horse","Guns N' Roses","Use Your Illusion I","","",""
"Not uploaded","Dead Horse - 2022 Remaster","Guns N' Roses","Use Your Illusion I (Deluxe Edition)","","",""
"Not uploaded","Dead Horse - 2022 Remaster","Guns N' Roses","Use Your Illusion (Super Deluxe)","","",""
"Not uploaded","Death of a Martian","Red Hot Chili Peppers","Stadium Arcadium","","",""
"Not uploaded","Deep Kick","Red Hot Chili Peppers","One Hot Minute (Deluxe Edition)","","",""
"Not uploaded","Deep Kick","Red Hot Chili Peppers","One Hot Minute","","",""
"Not uploaded","Deep Kick","Red Hot Chili Peppers","The Studio Album Collection 1991 - 2011","","",""
"Not uploaded","Deixa eu Penetrar","Dj Thales Jql","Ritmo do Jql","","",""
"Not uploaded","Desecration Smile","Red Hot Chili Peppers","Stadium Arcadium","","",""
"Not uploaded","Deshnikala","Bartika Eam Rai","Si Ma Na","","",""
"Not uploaded","Detroit","Red Hot Chili Peppers","The Getaway","","",""
"Not uploaded","Devi Deuta","Tribal Rain","Devi Deuta","","",""
"Not uploaded","Devi Devta","Tribal Rain","Devi Devta","","",""
"Not uploaded","Devil In A New Dress","Kanye West, Rick Ross","My Beautiful Dark Twisted Fantasy","","",""
"Not uploaded","Dhairya","Sajjan Raj Vaidya","Dhairya","","",""
"Not uploaded","Dhanyabad","Sushant KC, Foeseal","Dhanyabad","","",""
"Not uploaded","Dhokha","The Edge Band","Dhokha","","",""
"Not uploaded","Dhun","Rockheads","Dhun","","",""
"Not uploaded","Dhurwa Tara","Purna Rai","Dhurwa Tara","","",""
"Not uploaded","Dhurwa Tara - Drum Track","Purna Rai","Dhurwa Tara (Drum Track)","","",""
"Not uploaded","Diamonds From Sierra Leone - Bonus Track","Kanye West","Late Registration","","",""
"Not uploaded","Diamonds From Sierra Leone - Live At Abbey Road Studios","Kanye West","Late Orchestration","","",""
"Not uploaded","Diamonds From Sierra Leone - Remix","Kanye West, JAŸ-Z","Late Registration","","",""
"Not uploaded","Did I Let You Know","Red Hot Chili Peppers","I'm with You","","",""
"Not uploaded","Dientes","J Balvin, USHER, DJ Khaled","Dientes","","",""
"Not uploaded","Dive","Ed Sheeran","+-=÷× (Tour Collection: Live)","","",""
"Not uploaded","Dive","Ed Sheeran","+-=÷× (Tour Collection)","","",""
"Not uploaded","Dive","Ed Sheeran","Divide ÷ (Deluxe)","","",""
"Not uploaded","Dive","Ed Sheeran","kiss me under the light of a thousand stars","","",""
"Not uploaded","Dive","Nirvana","Incesticide","","",""
"Not uploaded","Dive (Live at Pine Street Theatre)","Nirvana","Bleach (Deluxe Edition)","","",""
"Not uploaded","Dive - Demo","Nirvana","With The Lights Out - Box Set","","",""
"Not uploaded","Dive - Live","Ed Sheeran","+-=÷× (Tour Collection: Live)","","",""
"Not uploaded","Dive - Smart Sessions","Nirvana","Nevermind (Super Deluxe Edition)","","",""
"Not uploaded","Dive - Smart Sessions","Nirvana","Nevermind (Deluxe Edition)","","",""
"Not uploaded","Dj Do Baile Te Sarra Piroca","Dj Thales Jql","Dj Do Baile Te Sarra Piroca","","",""
"Not uploaded","Dmt","Chirag Khadka","Dmt","","",""
"Not uploaded","Do Re Mi - Home Demo","Nirvana","Sliver - The Best Of The Box","","",""
"Not uploaded","Don't","Ed Sheeran","+-=÷× (Tour Collection: Live)","","",""
"Not uploaded","Don't","Ed Sheeran","+-=÷× (Tour Collection)","","",""
"Not uploaded","Don't","Ed Sheeran","x (10th Anniversary Edition)","","",""
"Not uploaded","Don't","Ed Sheeran","x (Wembley Edition)","","",""
"Not uploaded","Don't","Ed Sheeran","x (Deluxe Edition)","","",""
"Not uploaded","Don't Cry","Guns N' Roses","Use Your Illusion II","","",""
"Not uploaded","Don't Cry (Original)","Guns N' Roses","Use Your Illusion I","","",""
"Not uploaded","Don't Cry (Original)","Guns N' Roses","Greatest Hits","","",""
"Not uploaded","Don't Cry (Original) - 2022 Remaster","Guns N' Roses","Use Your Illusion I (Deluxe Edition)","","",""
"Not uploaded","Don't Cry (Original) - 2022 Remaster","Guns N' Roses","Use Your Illusion (Super Deluxe)","","",""
"Not uploaded","Don't Cry (Original) - Live In New York, Ritz Theatre - May 16, 1991","Guns N' Roses","Use Your Illusion I (Deluxe Edition)","","",""
"Not uploaded","Don't Cry (Original) - Live In New York, Ritz Theatre - May 16, 1991","Guns N' Roses","Use Your Illusion (Super Deluxe)","","",""
"Not uploaded","Don't Cry - Alternate Lyrics / 2022 Remaster","Guns N' Roses","Use Your Illusion II (Deluxe Edition)","","",""
"Not uploaded","Don't Cry - Alternate Lyrics / 2022 Remaster","Guns N' Roses","Use Your Illusion (Super Deluxe)","","",""
"Not uploaded","Don't Cry - Live","Guns N' Roses","Live Era '87-'93 (Live - Deluxe Edition)","","",""
"Not uploaded","Don't Cry - Live In Japan / 1992","Guns N' Roses","Live Era '87-'93","","",""
"Not uploaded","Don't Damn Me","Guns N' Roses","Use Your Illusion I","","",""
"Not uploaded","Don't Damn Me - 2022 Remaster","Guns N' Roses","Use Your Illusion I (Deluxe Edition)","","",""
"Not uploaded","Don't Damn Me - 2022 Remaster","Guns N' Roses","Use Your Illusion (Super Deluxe)","","",""
"Not uploaded","Don't Forget Me","Red Hot Chili Peppers","By the Way (Deluxe Edition)","","",""
"Not uploaded","Don't Forget Me","Red Hot Chili Peppers","By the Way","","",""
"Not uploaded","Don't Forget Me","Red Hot Chili Peppers","The Studio Album Collection 1991 - 2011","","",""
"Not uploaded","Don't Want It All - Solo Acoustic","Nirvana","With The Lights Out - Box Set","","",""
"Not uploaded","Don't Worry","Sushant KC","Maya Ma (2018 Compilation)","","",""
"Not uploaded","Don't Worry(Remix)","Sushant KC, Utsav","Don't Worry(Remix)","","",""
"Not uploaded","Don't/Nina Medley - Live","Ed Sheeran","+-=÷× (Tour Collection: Live)","","",""
"Not uploaded","Donda","Kanye West","Donda (Deluxe)","","",""
"Not uploaded","Donda","Kanye West","Donda","","",""
"Not uploaded","Donda Chant","Kanye West","Donda (Deluxe)","","",""
"Not uploaded","Donda Chant","Kanye West","Donda","","",""
"Not uploaded","Don’t","Ed Sheeran","names in lights at stadium heights","","",""
"Not uploaded","Don’t Look Down","Ed Sheeran","Play (Extended Edition)","","",""
"Not uploaded","Don’t Look Down","Ed Sheeran","Play","","",""
"Not uploaded","Don’t Look Down","Ed Sheeran","Play (Deluxe)","","",""
"Not uploaded","Don’t disturb me","Jamesy","Don’t disturb me","","",""
"Not uploaded","Dosed","Red Hot Chili Peppers","By the Way (Deluxe Edition)","","",""
"Not uploaded","Dosed","Red Hot Chili Peppers","By the Way","","",""
"Not uploaded","Dosed","Red Hot Chili Peppers","The Studio Album Collection 1991 - 2011","","",""
"Not uploaded","Double Talkin' Jive","Guns N' Roses","Use Your Illusion I","","",""
"Not uploaded","Double Talkin' Jive - 2022 Remaster","Guns N' Roses","Use Your Illusion I (Deluxe Edition)","","",""
"Not uploaded","Double Talkin' Jive - 2022 Remaster","Guns N' Roses","Use Your Illusion (Super Deluxe)","","",""
"Not uploaded","Double Talkin' Jive - Live In London, Wembley Stadium - August 31, 1991","Guns N' Roses","Use Your Illusion I (Deluxe Edition)","","",""
"Not uploaded","Double Talkin' Jive - Live In New York, Ritz Theatre - May 16, 1991","Guns N' Roses","Use Your Illusion (Super Deluxe)","","",""
"Not uploaded","Down Bad","Taylor Swift","THE TORTURED POETS DEPARTMENT: THE ANTHOLOGY","","",""
"Not uploaded","Down On The Farm","Guns N' Roses","The Spaghetti Incident?","","",""
"Not uploaded","Downer","Nirvana","Incesticide","","",""
"Not uploaded","Downer","Nirvana","Bleach (Deluxe Edition)","","",""
"Not uploaded","Downer","Nirvana","Bleach","","",""
"Not uploaded","Downer - Live","Nirvana","With The Lights Out - Box Set","","",""
"Not uploaded","Drain You","Nirvana","Nevermind (Super Deluxe Edition)","","",""
"Not uploaded","Drain You","Nirvana","Nevermind (Remastered)","","",""
"Not uploaded","Drain You","Nirvana","Nevermind (Deluxe Edition)","","",""
"Not uploaded","Drain You - 1992/Live at Reading","Nirvana","Live at Reading","","",""
"Not uploaded","Drain You - Demo","Nirvana","With The Lights Out - Box Set","","",""
"Not uploaded","Drain You - Devonshire Mix","Nirvana","Nevermind (Super Deluxe Edition)","","",""
"Not uploaded","Drain You - Live & Loud","Nirvana","Live And Loud","","",""
"Not uploaded","Drain You - Live & Loud","Nirvana","In Utero (Super Deluxe Edition)","","",""
"Not uploaded","Drain You - Live At Del Mar Fairgrounds, CA., December 28, 1991","Nirvana","From The Muddy Banks Of The Wishkah (Live)","","",""
"Not uploaded","Drain You - Live At Paramount Theatre B-Side","Nirvana","Nevermind (Super Deluxe Edition)","","",""
"Not uploaded","Drain You - Live At Paramount Theatre B-Side","Nirvana","Nevermind (Deluxe Edition)","","",""
"Not uploaded","Drain You - Live At The BBC","Nirvana","Nevermind (Super Deluxe Edition)","","",""
"Not uploaded","Drain You - Live At The BBC","Nirvana","Nevermind (Deluxe Edition)","","",""
"Not uploaded","Drain You - Live At The Paramount/1991","Nirvana","Live At The Paramount","","",""
"Not uploaded","Drain You - Live In Amsterdam, Netherlands/1991","Nirvana","Nevermind (30th Anniversary Super Deluxe)","","",""
"Not uploaded","Drain You - Live In Del Mar, California/1991","Nirvana","Nevermind (30th Anniversary Super Deluxe)","","",""
"Not uploaded","Drain You - Live In Los Angeles, Great Western Forum - December 30, 1993","Nirvana","In Utero (30th Anniversary Super Deluxe)","","",""
"Not uploaded","Drain You - Live In Melbourne, Australia For Triple J/1992","Nirvana","Nevermind (30th Anniversary Super Deluxe)","","",""
"Not uploaded","Drain You - Live In Seattle, Seattle Center Arena - January 7, 1994","Nirvana","In Utero (30th Anniversary Super Deluxe)","","",""
"Not uploaded","Drain You - Remastered 2021","Nirvana","Nevermind (30th Anniversary Super Deluxe)","","",""
"Not uploaded","Dream Piracy","Ajar Jangam","Chiso Ashtray (Original Motion Picture Soundtrack)","","",""
"Not uploaded","Dreams of a Samurai","Red Hot Chili Peppers","The Getaway","","",""
"Not uploaded","Drenched Up","Jesus Of Swaggerath","Panther Black","","",""
"Not uploaded","Drive (From F1® The Movie)","Ed Sheeran, F1 The Album","Drive (From F1® The Movie)","","",""
"Not uploaded","Drive Slow","Kanye West, Paul Wall, GLC","Late Registration","","",""
"Not uploaded","Drive Slow - Live At Abbey Road Studios","Kanye West, Paul Wall, GLC","Late Orchestration","","",""
"Not uploaded","Drown Me Out (feat. Ghetts) - + Ghetts","Ed Sheeran, Ghetts","5","","",""
"Not uploaded","Drown Me Out (feat. Ghetts) - + Ghetts","Ed Sheeran, Ghetts","No.5 Collaborations Project","","",""
"Not uploaded","Drum Solo - Live In New York, Ritz Theatre - May 16, 1991","Guns N' Roses","Use Your Illusion (Super Deluxe)","","",""
"Not uploaded","Drum Solo - Live In Paris, Hippodrome De Vincennes - June 6, 1992","Guns N' Roses","Use Your Illusion II (Deluxe Edition)","","",""
"Not uploaded","Drunk","Ed Sheeran","+","","",""
"Not uploaded","Drunk and Hot Girls","Kanye West, Mos Def","Graduation","","",""
"Not uploaded","Dui Diney Jindagi","Yabesh Thapa","Dui Diney Jindagi","","",""
"Not uploaded","Dui Thunga","Sabin Rai","Rangamanch Ko Rang","","",""
"Not uploaded","Dukha Diyera","The Edge Band","Vibes","","",""
"Not uploaded","Dukha Diyerata Sabai","The Edge Band","Dukha Diyerata Sabai","","",""
"Not uploaded","Dukhi","Jamesy, TUKI","Dukhi","","",""
"Not uploaded","Dumb","Nirvana","In Utero (Super Deluxe Edition)","","",""
"Not uploaded","Dumb","Nirvana","In Utero (Deluxe Edition)","","",""
"Not uploaded","Dumb","Nirvana","In Utero","","",""
"Not uploaded","Dumb","Nirvana","Nirvana","","",""
"Not uploaded","Dumb - 1991 Radio Appearance","Nirvana","With The Lights Out - Box Set","","",""
"Not uploaded","Dumb - 1992/Live at Reading","Nirvana","Live at Reading","","",""
"Not uploaded","Dumb - 2013 Mix","Nirvana","In Utero (Super Deluxe Edition)","","",""
"Not uploaded","Dumb - 2013 Mix","Nirvana","In Utero (Deluxe Edition)","","",""
"Not uploaded","Dumb - 2023 Remaster","Nirvana","In Utero (30th Anniversary Super Deluxe)","","",""
"Not uploaded","Dumb - Demo / Instrumental","Nirvana","In Utero (Super Deluxe Edition)","","",""
"Not uploaded","Dumb - Demo / Instrumental","Nirvana","In Utero (Deluxe Edition)","","",""
"Not uploaded","Dumb - Live","Nirvana","MTV Unplugged In New York (25th Anniversary)","","",""
"Not uploaded","Dumb - Live","Nirvana","MTV Unplugged In New York","","",""
"Not uploaded","Dumb - Live In Los Angeles, Great Western Forum - December 30, 1993","Nirvana","In Utero (30th Anniversary Super Deluxe)","","",""
"Not uploaded","Dumb - Live In Seattle, Seattle Center Arena - January 7, 1994","Nirvana","In Utero (30th Anniversary Super Deluxe)","","",""
"Not uploaded","Dust N' Bones","Guns N' Roses","Use Your Illusion I","","",""
"Not uploaded","Dust N' Bones - 2022 Remaster","Guns N' Roses","Use Your Illusion I (Deluxe Edition)","","",""
"Not uploaded","Dust N' Bones - 2022 Remaster","Guns N' Roses","Use Your Illusion (Super Deluxe)","","",""
"Not uploaded","Dust N' Bones - Live","Guns N' Roses","Live Era '87-'93 (Live - Deluxe Edition)","","",""
"Not uploaded","Dust N' Bones - Live In London, Wembley Stadium - August 31, 1991","Guns N' Roses","Use Your Illusion I (Deluxe Edition)","","",""
"Not uploaded","Dust N' Bones - Live In New York / 1991","Guns N' Roses","Live Era '87-'93","","",""
"Not uploaded","Dust N' Bones - Live In New York, Ritz Theatre - May 16, 1991","Guns N' Roses","Use Your Illusion (Super Deluxe)","","",""
"Not uploaded","Dusty","Ed Sheeran","- (Deluxe)","","",""
"Not uploaded","EKLO JEEWAN","AXIX","PAAILA","","",""
"Not uploaded","Eakai Charan","Ciney Gurung","Hidchhu","","",""
"Not uploaded","Easily","Red Hot Chili Peppers","Californication (Deluxe Edition)","","",""
"Not uploaded","Easily","Red Hot Chili Peppers","Californication","","",""
"Not uploaded","Easily","Red Hot Chili Peppers","The Studio Album Collection 1991 - 2011","","",""
"Not uploaded","Eazy","The Game, Kanye West","Eazy","","",""
"Not uploaded","Echoes of Dad Beat","Dj khalipha","Echoes of Dad Beat","","",""
"Not uploaded","Eddie","Red Hot Chili Peppers","Return of the Dream Canteen","","",""
"Not uploaded","Eddie","Red Hot Chili Peppers","Eddie","","",""
"Not uploaded","Ek Choti","AXIX","Ghar Gaun","","",""
"Not uploaded","Ek Dui Teen","Oasis Thapa","Ek Dui Teen","","",""
"Not uploaded","Ek Sarvanaam","Sajjan Raj Vaidya","Ek Sarvanaam","","",""
"Not uploaded","Ekadeshma","Sajjan Raj Vaidya","Behuli","","",""
"Not uploaded","Ekadeshma","Sajjan Raj Vaidya","Ekadeshma","","",""
"Not uploaded","Ekkasi - Alternate Version","Yabesh Thapa","Ekkasi (Alternate Version)","","",""
"Not uploaded","Eklai Bhayeni - Mero Adhuro Prem","Sujan Chapagain, ArtMandu, Bidhya Tiwari","Eklai Bhayeni (Mero Adhuro Prem)","","",""
"Not uploaded","Eklo Jeewan - Live In Bhaktapur","AXIX","Eklo Jeewan (Live In Bhaktapur)","","",""
"Not uploaded","Ela toma na frente, ela toma atras","Dj Thales Jql, Dj Rayan, DJ RD DO H","Ela toma na frente, ela toma atras","","",""
"Not uploaded","Eldest Daughter","Taylor Swift","The Life of a Showgirl","","",""
"Not uploaded","Eldest Daughter","Taylor Swift","The Life of a Showgirl + Acoustic Collection","","",""
"Not uploaded","Eldest Daughter - Track by Track","Taylor Swift","The Life of a Showgirl (Track by Track Version)","","",""
"Not uploaded","Electrify Street House Beat","Dj khalipha","Electrify Street House Beat","","",""
"Not uploaded","Elizabeth Taylor","Taylor Swift","The Life of a Showgirl","","",""
"Not uploaded","Elizabeth Taylor","Taylor Swift","The Life of a Showgirl (Track by Track Version)","","",""
"Not uploaded","Elizabeth Taylor","Taylor Swift","The Life of a Showgirl + Acoustic Collection","","",""
"Not uploaded","Elizabeth Taylor - Track by Track","Taylor Swift","The Life of a Showgirl (Track by Track Version)","","",""
"Not uploaded","Emit Remmus","Red Hot Chili Peppers","Californication (Deluxe Edition)","","",""
"Not uploaded","Emit Remmus","Red Hot Chili Peppers","Californication","","",""
"Not uploaded","Emit Remmus","Red Hot Chili Peppers","The Studio Album Collection 1991 - 2011","","",""
"Not uploaded","Emotional Mara Street Beat","Dj khalipha, Badboi Wurld","Emotional Mara Street Beat","","",""
"Not uploaded","Emotional mara beat Pt 2","Dj khalipha","Emotional mara beat Pt 2","","",""
"Not uploaded","Encore","Red Hot Chili Peppers","The Getaway","","",""
"Not uploaded","End Of Youth","Ed Sheeran","- (Deluxe)","","",""
"Not uploaded","Endless, Nameless","Nirvana","Nevermind (Super Deluxe Edition)","","",""
"Not uploaded","Endless, Nameless","Nirvana","Nevermind (Remastered)","","",""
"Not uploaded","Endless, Nameless","Nirvana","Nevermind (Deluxe Edition)","","",""
"Not uploaded","Endless, Nameless - 1991 Radio Appearance","Nirvana","With The Lights Out - Box Set","","",""
"Not uploaded","Endless, Nameless - Live & Loud","Nirvana","Live And Loud","","",""
"Not uploaded","Endless, Nameless - Live At The Paramount/1991","Nirvana","Live At The Paramount","","",""
"Not uploaded","Endless, Nameless - Remastered 2021","Nirvana","Nevermind (30th Anniversary Super Deluxe)","","",""
"Not uploaded","England","Ed Sheeran","Autumn Variations (Fan Living Room Sessions)","","",""
"Not uploaded","England","Ed Sheeran","Autumn Variations","","",""
"Not uploaded","England - Live from Maynard’s Living Room","Ed Sheeran","Autumn Variations (Fan Living Room Sessions)","","",""
"Not uploaded","English Rose","Ed Sheeran","x (10th Anniversary Edition)","","",""
"Not uploaded","English Rose","Ed Sheeran","x (Wembley Edition)","","",""
"Not uploaded","Enjoy The Show (feat. Future)","The Weeknd, Future","Hurry Up Tomorrow","","",""
"Not uploaded","Enlightenment","Chirag Khadka","Enlightenment","","",""
"Not uploaded","Então Chupa","Dj Thales Jql","Então Chupa","","",""
"Not uploaded","Eraser","Ed Sheeran","Divide ÷ (Deluxe)","","",""
"Not uploaded","Especially in Michigan","Red Hot Chili Peppers","Stadium Arcadium","","",""
"Not uploaded","Estai Raicha","Sushant KC","Estai Raicha","","",""
"Not uploaded","Estranged","Guns N' Roses","Use Your Illusion II","","",""
"Not uploaded","Estranged - 2022 Remaster","Guns N' Roses","Use Your Illusion II (Deluxe Edition)","","",""
