Mood,Album Count,Song Count,Albums,Songs
celebratory,32,0,"Amazing (feat. DJ Khaled) (Mary J. Blige, DJ Khaled) | Big Energy (feat. DJ Khaled) [Remix] (Latto, Mariah Carey, DJ Khaled) | BIG TIME (feat. Future & Lil Baby) (DJ Khaled, Future, Lil Baby) | BILLS PAID (feat. Latto & City Girls) (DJ Khaled, Latto, City Girls) | Father Of Asahd (DJ Khaled) | Graduation (Kanye West) | Grateful (DJ Khaled) | GRATEFUL (feat. Vory) (DJ Khaled, Vory) | GREECE (feat. Drake) (DJ Khaled, Drake) | I DID IT (feat. Post Malone, Megan Thee Stallion, Lil Baby & DaBaby) (DJ Khaled, Post Malone, DaBaby) | Just Us (DJ Khaled, SZA) | KEEP GOING (feat. Lil Durk, 21 Savage & Roddy Ricch) (DJ Khaled, Lil Durk, 21 Savage, Roddy Ricch) | Kiss The Ring (DJ Khaled) | Kiss The Ring (Deluxe) (DJ Khaled) | LOVE, MONEY, FAME (feat. DJ Khaled) (Kenia OS Remix) (SEVENTEEN, Kenia Os, DJ Khaled) | LOVE, MONEY, FAME (feat. DJ Khaled) (Timbaland Remix) (SEVENTEEN, DJ Khaled, Timbaland) | Major Key (DJ Khaled) | PARTY (feat. Quavo & Takeoff) (DJ Khaled, Quavo, Takeoff) | POPSTAR (feat. Drake) (DJ Khaled, Drake) | STAYING ALIVE (feat. Drake & Lil Baby) (DJ Khaled, Drake, Lil Baby) | Suffering From Success (DJ Khaled) | Suffering From Success (Deluxe Version) (DJ Khaled) | Supa Ties (feat. DJ Khaled & Raw Youngin) (AAP Deno, DJ Khaled, Raw Youngin) | THANKFUL (feat. Lil Wayne & Jeremih) (DJ Khaled, Lil Wayne, Jeremih) | THIS IS MY YEAR (feat. A Boogie Wit Da Hoodie, Big Sean, Rick Ross & Puff Daddy) (DJ Khaled, Big Sean, Rick Ross) | Victory (DJ Khaled) | WAY PAST LUCK (feat. 21 Savage) (DJ Khaled, 21 Savage) | WE GOING CRAZY (feat. H.E.R. & Migos) (DJ Khaled, H.E.R., Migos) | We The Best (DJ Khaled) | We The Best Forever (DJ Khaled) | Where They At (French Montana, Kanye West, Westside Gunn) | You Stay (feat. Lil Baby & Jeremih) (DJ Khaled, Meek Mill, J Balvin)",
chaotic,2,0,The Life Of Pablo (Kanye West) | Yeezus (Kanye West),
cinematic,9,0,"Balidan Title Song (From ""Balidan"") (Sujan Chapagain, Hark Saud) | Banga Banga (From ""Balidan"") (Sujan Chapagain, Bhushan Khatiwada, Hark Saud) | Chapali Height(Original Motion Picture Soundtrack) (Durga Kharel, Sabin Rai) | Chiso Ashtray (Original Motion Picture Soundtrack) (Ajar Jangam, Robin Tamang, Sabin Rai, Garima Gurung Shah) | Chulbul Chulbul (From ""Babari"") (Original Motion Picture Soundtrack) (Sujan Chapagain, Sunita Thegim) | Hurry Up Tomorrow (The Weeknd) | Makhamali (From "" Oonko Sweater[The Woolen Sweater]"") (Sujan Chapagain, ArtMandu) | Mathi Mathi Pantharai ma (From "" Oonko Sweater[The Woolen Sweater]"") (Sujan Chapagain, ArtMandu) | Run On Gun (From ""Lappan Chhappan"") (Sabin Rai, Deepak Rj)",
classic,0,0,,
club,21,0,"Amassar o ortobom (DJ DIDI, Dj Thales Jql, DJ Karuso) | Barulho Jql (Dj Thales Jql) | Bota Ela de Quatro (Dj Thales Jql) | Cala boca e Escuta o Som da Minha Saveiro (Dj Thales Jql) | Como é Bom Fuder (Dj Thales Jql) | Fica de Quatro (Dj Thales Jql) | Ja vi puta que não era puta (Dj Thales Jql) | Joga Pra Frente, Joga Pra Tras (Dj Thales Jql) | Mega pra fuder no carro (DJ DIDI, Dj Thales Jql, DJ Karuso) | Na Sentada Que Ela Vem (Dj Thales Jql) | SE QUISER VEM NO PAU (Dj Thales Jql) | Senta no pau do seu preto (Dj Thales Jql) | Sequencia da Botada (Dj Thales Jql) | Sequencia do Peixão (Dj Thales Jql) | Sequencia do Vuk (Dj Thales Jql) | Sequencia do Vuk 2 (Dj Thales Jql) | Vem Fuder (Funk Versão) (Dj Thales Jql) | Vem pro Setor (DJ DIDI, Dj Thales Jql, Mc Rkostta) | Vou tacar pau na tchequinha (Dj Thales Jql) | Vulgo Malvadão (Dj Thales Jql) | Xerecão, Xerequinha (Dj Thales Jql)",
club-ready,70,0,"Action Mara Beat (Dj khalipha) | Adrenaline Street House Beat (Dj khalipha) | Ahh 4.0 Beat (Dj khalipha) | Amazing (feat. DJ Khaled) (Mary J. Blige, DJ Khaled) | Aso Mi Cruise Beat (Dj khalipha) | Beat do Empurra, Empurra (Dj Thales Jql) | Big Energy (feat. DJ Khaled) [Remix] (Latto, Mariah Carey, DJ Khaled) | BIG TIME (feat. Future & Lil Baby) (DJ Khaled, Future, Lil Baby) | BILLS PAID (feat. Latto & City Girls) (DJ Khaled, Latto, City Girls) | Brotherly (Street House Beat) (Dj khalipha) | Dark Street House Beat (Dj khalipha) | Dash Mara House Beat (Dj khalipha) | Echoes of Dad Beat (Dj khalipha) | Electrify Street House Beat (Dj khalipha) | Emotional mara beat Pt 2 (Dj khalipha) | Emotional Mara Street Beat (Dj khalipha) | Father Of Asahd (DJ Khaled) | GRATEFUL (feat. Vory) (DJ Khaled, Vory) | GREECE (feat. Drake) (DJ Khaled, Drake) | Heritage Mara House Beat (Dj khalipha) | Hope (Mara House Beat) (Dj khalipha) | I DID IT (feat. Post Malone, Megan Thee Stallion, Lil Baby & DaBaby) (DJ Khaled, Post Malone, DaBaby) | I Run (House Mix) (DJ KHADY) | Illuminati Mara Dance Beat (Dj khalipha) | Iphone Mara Beat (Street Dance) (Dj khalipha) | Iwe Kiko Mara Street Beat (Dj khalipha) | Just Us (DJ Khaled, SZA) | KEEP GOING (feat. Lil Durk, 21 Savage & Roddy Ricch) (DJ Khaled, Lil Durk, 21 Savage, Roddy Ricch) | Kiss The Ring (DJ Khaled) | Kiss The Ring (Deluxe) (DJ Khaled) | LOVE, MONEY, FAME (feat. DJ Khaled) (Kenia OS Remix) (SEVENTEEN, Kenia Os, DJ Khaled) | LOVE, MONEY, FAME (feat. DJ Khaled) (Timbaland Remix) (SEVENTEEN, DJ Khaled, Timbaland) | Major Key (DJ Khaled) | Mara dance beat 2.0 (Remix) (Dj khalipha) | Mara Evolution Beat (Dj khalipha) | Mara Non Stop Beat (Dj khalipha) | Mara Street House Mixtape (Dj khalipha) | Marapiano Street Beat (Dj khalipha) | Melodic Mara (EDM REMIX) (Dj khalipha) | Melodic Street House (Dj khalipha) | Milo Mara Dance Beat (Dj khalipha, Lomilo) | Ogba beat 3.0 (Dj khalipha) | OGBA BEAT 4.0 (Dj khalipha) | PARTY (feat. Quavo & Takeoff) (DJ Khaled, Quavo, Takeoff) | POPSTAR (feat. Drake) (DJ Khaled, Drake) | Ravers Street House Beat (Dj khalipha) | Relieved (Mara Street House Beat) (Dj khalipha) | Riddim of Survival (Street House Mix) (Dj khalipha) | Solid (Mara House Beat) [with Beatnasttii & Jegzy] (Dj khalipha) | Soulful Street House Beat (Dj khalipha) | Spiritual Mara Dance Beat 2.0 (Dj khalipha) | STAYING ALIVE (feat. Drake & Lil Baby) (DJ Khaled, Drake, Lil Baby) | Steppers Mara Beat (Dj khalipha) | Suffering From Success (DJ Khaled) | Suffering From Success (Deluxe Version) (DJ Khaled) | Supa Ties (feat. DJ Khaled & Raw Youngin) (AAP Deno, DJ Khaled, Raw Youngin) | THANKFUL (feat. Lil Wayne & Jeremih) (DJ Khaled, Lil Wayne, Jeremih) | The Horbbit Mara Beat (Dj khalipha) | The Night Mara Beat (Dj khalipha) | THIS IS MY YEAR (feat. A Boogie Wit Da Hoodie, Big Sean, Rick Ross & Puff Daddy) (DJ Khaled, Big Sean, Rick Ross) | Trenches Street House Beat (Dj khalipha) | Twin Mara Street Beat (Dj khalipha) | Victory (DJ Khaled) | Violin Mara Dance Beat (Dj khalipha) | WAY PAST LUCK (feat. 21 Savage) (DJ Khaled, 21 Savage) | WE GOING CRAZY (feat. H.E.R. & Migos) (DJ Khaled, H.E.R., Migos) | We The Best (DJ Khaled) | We The Best Forever (DJ Khaled) | Where They At (French Montana, Kanye West, Westside Gunn) | You Stay (feat. Lil Baby & Jeremih) (DJ Khaled, Meek Mill, J Balvin)",
cold,0,0,,
collaborative,1,0,PROJECT COLLABORATION (DJ Bishow),
colorful,1,0,Return of the Dream Canteen (Red Hot Chili Peppers),
confessional,2,0,Happier Than Ever (Billie Eilish) | THE TORTURED POETS DEPARTMENT: THE ANTHOLOGY (Taylor Swift),
