Mood,Album Count,Song Count,Albums,Songs
Chill,1,2,Californication (Red Hot Chili Peppers),Californication (Red Hot Chili Peppers) [Californication] | Scar Tissue (Red Hot Chili Peppers) [Californication]
romantic,117,1,"A Little More (Ed Sheeran) | A Little More (Unplugged) (Ed Sheeran) | Ae Mutu (Yabesh Thapa) | Antim Bidaai (Oasis Thapa) | Aunla Haru (Swar, Swapnil Sharma, Rohit Shakya) | Aunla Haru (Reimagined) (Swar, Arbitrary Records) | Baaf (Sujan Chapagain, Bidhya Tiwari) | Bardali (Acoustic) (Sushant KC) | Barulho Pra Quem Não Conhece Jql (Instrumental) (Dj Thales Jql) | Bhikhaari (Oasis Thapa) | Bhool (Swar, Swapnil Sharma, Rohit Shakya) | Bidaai (Swar, Swapnil Sharma, Rohit Shakya, Gautam Tandukar) | Bistarai (Swar, Swapnil Sharma, Rohit Shakya) | Boomerang (YABI The G.O.A.T) | Camera (Unplugged) (Ed Sheeran) | Chautari (Sajjan Raj Vaidya) | Chitthi Bhitra (Sajjan Raj Vaidya) | Dhairya (Sajjan Raj Vaidya) | Dhurwa Tara (Purna Rai) | Dhurwa Tara (Drum Track) (Purna Rai) | Dui Diney Jindagi (Yabesh Thapa) | Ekkasi (Alternate Version) (Yabesh Thapa) | Eklai Bhayeni (Mero Adhuro Prem) (Sujan Chapagain, ArtMandu) | Eklo Jeewan (Live In Bhaktapur) (AXIX) | Fakaula Timilai (Oasis Thapa) | Fewataal (Yabesh Thapa) | For All The Dogs (Drake) | For All The Dogs Scary Hours Edition (Drake) | Fulthunge Rani (Sujan Chapagain) | Fulthunge Rani (Flute Version) (Sujan Chapagain) | Gajalu (Sushant KC) | Ghar Gaun (AXIX) | Gharako Kancho Choro (Samir Shrestha) | Ghumi Ghumi (A Folk Journey) (Sujan Chapagain) | Ghumi Phiri (Sajjan Raj Vaidya) | Ghumi Phiri: Prelude (Sajjan Raj Vaidya) | Hajar Janma (Rockheads) | Hamro Maya (The Edge Band) | Hataarindai, Bataasindai (Sajjan Raj Vaidya) | Hawa Jastai (John Rai) | Hawa Jastai (Raw) (John Rai) | Hawa Le (Sushant KC) | Hera Na (Samir Shrestha) | Jaba Timi Sanga (The Edge Band) | Jhandai (Sushant KC) | Jhyal Bata (Sushant KC) | Juni Vari Lai (Oasis Thapa) | K paye? (Swar, Swapnil Sharma, Rohit Shakya) | Kasari (Yabesh Thapa) | Kasari Furkaaune (Oasis Thapa) | Katha: Episode I & II (Sajjan Raj Vaidya) | Katha: Episode III - Marijau (Sajjan Raj Vaidya) | Katha: Episode V - Alapatra (Sajjan Raj Vaidya) | Katha: Episode VI - Aaundai Jaandai (Sajjan Raj Vaidya) | Katha: Episode VII - Jeevan (Sajjan Raj Vaidya) | Katha: Episode VIII - Tadhiera (Sajjan Raj Vaidya) | Khelauna (Sajjan Raj Vaidya) | Kuraakaani (Sajjan Raj Vaidya) | Kya Kardiya (Sushant KC) | Laakhau Hajarau (Yabesh Thapa) | Laayo Timiley Mayalu (The Edge Band) | LAJAYERA (Sujan Chapagain) | Maaf Gara (Live In Bhaktapur) (AXIX) | Malaai Chaana Na (Sajjan Raj Vaidya) | Manaka Kura (Samir Shrestha, bekcha) | Mausam (Sushant KC, Yodda, LIL Rock Look) | Maya Garnu La (Composer Version) (John Rai) | Maya Garnu la (Flute) (John Rai, kiran Baral) | Maya Garnu La (Piano Version) (John Rai) | Maya Ko Katha (Yabesh Thapa, Arbitrary Records) | Maya Ma (Swar) | Maya Ma (2018 Compilation) (Sushant KC) | Mayalu (Vek, Yabesh Thapa) | Mayalu Sunana (Samir Shrestha) | Mero Ansu (The Edge Band) | Mero Mana Ma (Samir Shrestha) | Mero Prayas (The Edge Band) | Mero Prem (Live In Bhaktapur) (AXIX) | Mero Priye, (Yabesh Thapa) | Mooskaan (Sajjan Raj Vaidya) | Mooskaan| (Live in Terminal 5 | NYC) (Sajjan Raj Vaidya) | Muskan (Live In Bhaktapur) (AXIX) | Muskuraye (Yabesh Thapa) | Mutu Dekhin (Raw) (John Rai) | my forgotten favourites (Ed Sheeran) | Nothing In My Head Besides Timi (Sajjan Raj Vaidya) | PAAILA (AXIX) | Paaila (Remastered) (AXIX) | Pahaar (Sajjan Raj Vaidya) | Pahaar (Live Version) (Sajjan Raj Vaidya) | Paisa (Live In Bhaktapur) (AXIX) | Parkha Na (Sushant KC) | Parkhaai (Sajjan Raj Vaidya) | Parkhi Rahechu (John Rai) | Phone Ko No. ? (Sushant KC) | Phone Ko Number? (Utsav Remix) (Sushant KC, Foeseal, Utsav) | Saacho Kura (Yabesh Thapa) | Sahara (Rockheads) | Sahi Ho (Yabesh Thapa, Bizen) | Samaya (Chirag Khadka) | Samaya Ley (John Rai) | Sasto Mutu (Sajjan Raj Vaidya) | Sathi (Sushant KC) | Sidha Kura (Rockheads) | Suna Kaanchi (Sajjan Raj Vaidya) | The Life of a Showgirl (Taylor Swift) | Timi Bhayera (Akash Khadka, Samir Shrestha) | Timi Nabhai Nahuney (Raw Demo) (Samir Shrestha) | Timi Ra Ma (Oasis Thapa) | Timiley (Samir Shrestha) | Timro Maya (Sushant KC) | Timro Mood (DJ Bishow) | Ujeli (Sajjan Raj Vaidya) | Ujeli: Preface (Sajjan Raj Vaidya) | Ultaa Paailaa (Sajjan Raj Vaidya) | Yo Geet Timilai (DJ Bishow) | Yo Mutu Mero (Yabesh Thapa)",The Fate of Ophelia (Taylor Swift) [The Life of a Showgirl]
